"benchmark","logging_algorithm","database","VFS","phase","scale_factor","value","unit","test-specific-info","threads","bloom_filter"
______________________________________________________
			New test run
______________________________________________________
"SSB","SQLite","msc-large","PMem","evaluation","1","2.01698","s","q4.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.32091","s","q4.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.24545","s","q4.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.537686","s","q1.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.447316","s","q1.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.40511","s","q1.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","4.26108","s","q2.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","4.14571","s","q2.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","3.98868","s","q2.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.97912","s","q3.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.38607","s","q3.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.39473","s","q3.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.38553","s","q3.4","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","2.06942","s","q4.1","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.32978","s","q4.2","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","1.25126","s","q4.3","1","0"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.555206","s","q1.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.359591","s","q1.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.35203","s","q1.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.431313","s","q2.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.34999","s","q2.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.32477","s","q2.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.833237","s","q3.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.319634","s","q3.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.292268","s","q3.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.29113","s","q3.4","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.609592","s","q4.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.57925","s","q4.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.471299","s","q4.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.554906","s","q1.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.360833","s","q1.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.351309","s","q1.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.431373","s","q2.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.348748","s","q2.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.322071","s","q2.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.836491","s","q3.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.319914","s","q3.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.291384","s","q3.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.291163","s","q3.4","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.61222","s","q4.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.580088","s","q4.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.472692","s","q4.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.555764","s","q1.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.360788","s","q1.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.351446","s","q1.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.430278","s","q2.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.34638","s","q2.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.321989","s","q2.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.832197","s","q3.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.319569","s","q3.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.292341","s","q3.3","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.290977","s","q3.4","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.609549","s","q4.1","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.576533","s","q4.2","1","1"
"SSB","SQLite","msc-large","PMem","evaluation","1","0.472573","s","q4.3","1","1"
"SSB","DuckDB","DuckDB","none","evaluation","1","0.080676","s","q1.1","1",""
"SSB","DuckDB","DuckDB","none","evaluation","1","0.0885431","s","q1.2","1",""
"SSB","DuckDB","DuckDB","none","evaluation","1","0.0789288","s","q1.3","1",""
"SSB","DuckDB","DuckDB","none","evaluation","1","0.0742039","s","q2.1","1",""
"SSB","DuckDB","DuckDB","none","evaluation","1","0.0637874","s","q2.2","1",""
